MSOA,population,males,females,children,youth,elderly
E02000575,11317,5591,5728,583,2226,1351
E02000576,10676,5151,5518,547,1846,1292
E02000577,7713,3742,3968,303,1339,1318
E02000578,6003,2807,3196,330,827,1203
E02000579,8989,4196,4791,514,1062,1790
E02000580,7892,3741,4156,282,804,1653
E02000581,7388,3592,3798,297,1150,1543
E02000582,6543,2916,3622,289,709,1278
E02000583,6426,3000,3436,276,625,1317
E02000584,7172,3406,3764,343,840,1426
E02000585,8090,3632,4454,372,956,1448
E02000586,6471,3026,3449,247,929,1241
E02000587,6500,3012,3482,283,766,1304
E02000588,5982,2830,3151,241,754,1167
E02000589,7251,3598,3657,260,1284,996
E02000590,5969,2654,3316,226,798,1440
E02000591,6211,2925,3288,248,943,1065
E02000592,5763,2767,3001,272,802,985
E02000593,7392,3623,3774,395,1345,1073
E02000594,6480,2836,3646,204,584,2072
E02000595,6162,2711,3455,290,657,1469
E02000596,6614,3167,3453,234,981,1179
E02000597,6337,2875,3465,264,744,1428
E02000598,8092,3910,4178,358,842,1779
E02000599,7007,3325,3682,253,920,1969
E02000600,8364,3947,4413,514,900,1437
E02000601,11906,5797,6097,776,1216,1717
E02000602,10313,4827,5479,665,1957,1382
E02000603,8631,4125,4509,491,1368,1378
E02000604,9243,4409,4838,586,900,1738
E02000605,8490,4088,4397,489,838,1881
E02000606,10554,5067,5498,568,1819,1614
E02000607,6790,3245,3546,378,1231,1167
E02000608,7205,3550,3646,402,924,970
E02000609,7626,3772,3858,349,924,1905
E02000610,7950,3831,4118,453,758,1392
E02000611,7437,3639,3801,371,819,2010
E02000612,8249,3998,4251,444,823,2248
E02000613,8096,3881,4216,568,722,1482
E02000614,9293,4549,4743,570,1162,1629
E02000615,7884,3804,4077,423,870,1720
E02000616,6061,2966,3097,364,609,1276
E02000617,8860,4253,4610,539,1000,1839
E02000619,9096,4435,4660,464,1132,1418
E02000620,9847,5004,4841,385,1454,1345
E02000621,12521,6389,6133,436,2158,1391
E02000622,8406,4281,4119,355,1220,1096
E02000623,7856,3840,4020,286,1095,1180
E02000624,9631,4837,4789,416,1235,1055
E02000625,9303,4586,4721,453,1389,949
E02000626,8362,3962,4400,414,1142,1010
E02000627,9551,4510,5041,419,1529,1112
E02000628,10784,5267,5520,422,1700,1393
E02000629,9110,4520,4593,332,1315,984
E02000630,7544,3655,3883,297,960,1019
E02000631,9521,4585,4936,476,1348,1196
E02000632,9586,4687,4896,238,1537,833
E02000633,9162,4377,4784,400,1310,1107
E02000634,6773,3166,3607,263,988,950
E02000635,9809,4739,5069,430,1100,1121
E02000636,7720,3732,3986,420,972,891
E02000637,8403,4013,4391,362,958,920
E02000638,10255,5134,5121,485,1325,1110
E02000639,8319,4095,4226,340,1091,982
E02000640,9292,4342,4958,556,1097,1089
E02000641,8631,3927,4710,476,1212,1061
E02000642,9809,4674,5141,535,1073,1539
E02000643,9376,4597,4778,479,1015,1073
E02000644,8522,4056,4463,526,855,1061
E02000645,9536,4519,5012,603,872,1265
E02000646,9497,4528,4974,479,870,1261
E02000647,8589,4113,4474,575,864,1484
E02000648,7828,3549,4274,529,946,1105
E02000649,12478,6126,6350,721,1219,1337
E02000650,7664,3618,4051,482,751,1114
E02000651,8740,4214,4524,549,790,1431
E02000652,7559,3683,3877,441,980,1339
E02000653,12603,6169,6434,652,1730,1026
E02000654,8782,4135,4653,487,1188,920
E02000655,10282,4910,5376,607,1624,972
E02000657,9905,4603,5301,487,1831,1083
E02000658,8619,4103,4525,409,1147,1138
E02000659,8068,3847,4216,430,826,1093
E02000660,8212,3892,4319,473,875,836
E02000661,6491,3051,3442,382,572,1162
E02000662,8297,3907,4388,547,920,983
E02000663,6793,3163,3633,380,773,1005
E02000665,8155,3912,4244,546,738,1233
E02000666,7186,3328,3860,474,814,1044
E02000667,6687,3167,3520,485,708,972
E02000668,6865,3283,3580,564,635,1116
E02000669,7973,3854,4112,639,662,989
E02000670,6703,3181,3521,474,682,935
E02000671,8738,4145,4598,687,716,1226
E02000672,10271,4997,5275,792,1022,1254
E02000673,8134,3921,4220,481,696,1207
E02000674,8449,4068,4382,614,1065,1468
E02000675,8528,4110,4412,555,826,1713
E02000676,7822,3597,4222,566,714,1099
E02000677,7211,3428,3785,460,778,1474
E02000678,6957,3257,3708,507,875,1046
E02000679,8130,3852,4281,574,777,1219
E02000680,7039,3321,3715,477,706,1050
E02000681,8474,4009,4465,586,982,1537
E02000682,8932,4208,4732,532,1318,1385
E02000683,6765,3219,3549,429,787,1159
E02000685,8127,3750,4385,499,847,1367
E02000686,7538,3556,3982,511,902,1010
E02000687,8265,3827,4437,570,712,1407
E02000689,9049,4318,4732,740,828,1271
E02000690,5520,2613,2919,220,479,1842
E02000691,7360,3567,3789,423,669,1163
E02000692,7658,3619,4039,386,523,1767
E02000693,9856,4792,5068,602,822,1180
E02000694,9108,4394,4707,723,704,1157
E02000695,8640,4343,4298,531,947,1557
E02000696,8628,4273,4355,526,949,1040
E02000697,8727,4346,4384,631,690,1005
E02000698,8235,3902,4336,452,745,1868
E02000699,8215,4039,4176,589,624,1350
E02000700,8658,4164,4492,527,987,1212
E02000701,9011,4417,4596,526,1046,1522
E02000702,9323,4465,4860,683,1111,1342
E02000703,7961,3923,4042,411,775,1875
E02000704,8601,4135,4469,604,713,1412
E02000705,9325,4619,4707,499,1090,1744
E02000706,10040,4791,5240,716,1228,1326
E02000707,8302,4016,4287,492,1176,1353
E02000708,8888,4352,4534,557,883,1708
E02000709,7975,3913,4066,467,779,1899
E02000710,9181,4458,4731,569,978,1868
E02000711,9449,4633,4812,605,1034,1338
E02000712,9664,4775,4892,584,1199,1745
E02000713,7800,3801,4006,468,865,1773
E02000714,7716,3778,3939,564,999,928
E02000715,7299,3571,3726,588,1140,845
E02000716,7350,3747,3603,545,976,923
E02000717,8361,4198,4159,609,1163,945
E02000718,7404,3581,3825,551,1204,780
E02000719,8074,3995,4082,506,1060,935
E02000720,7486,3790,3695,557,1011,1065
E02000721,9549,4863,4683,709,1420,1074
E02000722,8137,4025,4104,452,1097,967
E02000723,11195,5879,5317,855,1511,1579
E02000724,10026,5082,4952,813,1554,1168
E02000725,9989,5019,4967,638,1525,1048
