MSOA,population,males,females,children,youth,elderly
E02001425,10691,5248,5442,545,1067,3070
E02001426,5444,2640,2801,253,502,1765
E02001427,10853,5281,5570,593,1266,2429
E02001428,5577,2721,2856,216,527,2078
E02001429,6678,3126,3558,282,523,2562
E02001430,6850,3263,3573,254,633,2603
E02001431,7528,3588,3933,277,468,3642
E02001432,9530,4956,4565,347,927,2909
E02001433,7449,3606,3840,439,728,1703
E02001434,7373,3636,3737,386,783,1765
E02001435,8834,4404,4439,472,934,2036
E02001436,9669,4559,5115,509,1029,2497
E02001437,9275,4459,4816,268,756,4210
E02001438,7192,3458,3731,328,740,1957
E02001439,6578,3156,3425,289,696,1981
E02001440,6022,2869,3150,175,518,2721
E02001441,6335,3014,3317,185,547,2734
E02001442,6052,2810,3238,243,509,2384
E02001443,5645,2710,2936,198,556,2107
E02001444,5597,2686,2909,235,559,1866
E02001445,6836,3267,3564,264,606,2446
E02001446,7330,3598,3725,401,665,2330
E02001447,6073,2965,3101,250,542,2207
E02001448,6741,3284,3459,294,641,2206
E02001449,9279,4481,4802,408,796,3156
E02001450,8369,4116,4245,301,720,3048
E02001451,5978,2791,3185,327,641,1620
E02001452,6279,2986,3295,341,669,1584
E02001453,8812,4214,4602,475,843,2630
E02001454,7280,3490,3787,351,780,2207
E02001455,7107,3488,3621,366,711,2023
E02001456,7416,3550,3862,378,695,2297
E02001457,6823,3247,3575,399,787,1525
E02001458,7689,3917,3769,442,754,1756
E02001459,6862,3266,3596,364,796,1681
E02001460,7913,3852,4061,354,750,2211
E02001461,6900,3305,3591,376,690,1823
E02001462,7670,3653,4011,574,858,1518
E02001463,7473,3544,3928,470,856,1577
E02001464,7077,3442,3633,493,827,1356
E02001465,7688,3993,3699,440,932,1659
E02001466,9036,4468,4567,555,1043,2038
E02001467,7599,3691,3897,301,626,2508
E02001468,7600,3756,3848,375,816,2054
E02001469,7614,3655,3963,304,674,2558
E02001470,8298,4065,4234,397,806,2455
E02001471,7343,3671,3661,397,859,1701
E02001472,7050,3422,3622,392,728,1729
E02001473,7617,3689,3928,418,824,2013
E02001474,6955,3362,3596,503,771,1309
E02001475,6392,3047,3346,381,683,1448
E02001476,7926,3783,4148,543,922,1446
E02001477,7695,3599,4099,627,911,1401
E02001478,8154,3882,4276,365,772,2540
E02001479,6043,2872,3174,311,573,1883
E02001480,7583,3610,3977,273,642,2610
E02001481,8086,3914,4172,347,854,2342
E02001482,8038,4197,3845,467,1051,1683
E02001483,7205,3481,3714,334,609,2413
E02001484,8075,3822,4256,410,693,2608
E02001485,6905,3190,3709,496,884,1499
E02001486,7947,4048,3895,233,634,2960
E02001487,9375,4646,4732,697,1099,1565
E02001488,8398,4060,4341,476,934,1892
E02001489,8072,3861,4213,316,664,3182
E02001490,8208,4046,4162,369,808,2460
E02001491,6738,3183,3555,391,734,1688
E02001492,7581,3552,4027,330,693,2559
E02001493,8940,4438,4499,597,1216,1619
E02001494,7029,3423,3607,276,609,2661
E02001495,7988,3904,4088,407,926,1954
E02001496,6061,2989,3069,256,632,1843
E02001497,8156,3943,4214,502,875,1870
E02001498,7243,3547,3694,333,727,1973
E02001499,6605,3157,3450,267,524,2504
E02001500,7336,3552,3782,346,603,2547
E02001501,7726,3705,4027,370,765,2193
E02001502,9723,4675,5041,571,910,2466
E02001503,7528,3512,4015,283,704,2769
E02001504,6978,3409,3569,281,543,2848
E02001505,6486,3136,3346,329,674,1816
E02001506,8840,4310,4528,315,717,3712
E02001507,6976,3365,3601,280,587,2502
E02001508,8129,3933,4199,442,804,2133
E02001509,6958,3362,3596,373,708,1850
E02001510,5922,2896,3029,331,649,1518
E02001511,6118,2995,3126,303,589,1889
E02001512,8536,4090,4443,472,777,2387
E02001513,7570,3681,3894,321,706,2259
E02001514,7779,3818,3963,566,829,1677
E02001515,9664,4733,4933,633,1084,2093
E02001516,6296,3108,3182,385,738,1362
E02001517,7983,3925,4055,359,731,2531
E02001518,10209,5114,5097,538,1043,2467
E02001519,7974,3852,4122,557,853,1690
E02001520,11660,5644,6015,532,1034,3682
E02001521,12090,6291,5808,699,1400,2123
E02001522,9517,4621,4896,653,994,2278
E02001523,6762,3397,3373,335,631,1766
E02001524,6084,2996,3085,198,498,2302
E02001525,6769,3458,3317,382,725,1436
E02001526,6229,3084,3149,420,644,1323
E02001527,5981,2924,3053,251,580,1802
E02001528,10688,5225,5471,577,1056,3047
E02001529,9438,4629,4802,472,979,2636
E02001530,7172,3470,3701,496,804,1507
E02001531,7730,3904,3825,502,826,1867
E02001532,10541,5102,5430,543,915,2780
E02001533,7761,3783,3981,463,793,1827
E02001534,9588,4712,4874,554,1056,2066
E02001535,6488,3206,3287,251,563,2116
E02001536,8671,4182,4490,438,857,2602
E02001537,8450,4186,4269,469,835,2037
E02001538,7910,3896,4023,395,810,2270
E02001539,6707,3264,3443,439,829,1407
E02001540,11980,5797,6177,626,1323,3118
E02001541,11385,5563,5826,553,1170,3267
E02001542,7469,3671,3805,490,827,1865
E02001543,7823,3845,3982,449,834,2293
E02001544,8311,4042,4265,434,890,2140
E02001545,8445,4055,4385,358,790,2869
E02001546,8840,5362,3473,287,861,2413
E02001547,10865,5321,5545,652,1303,2276
E02001548,7999,3880,4118,641,906,1595
E02001549,6255,3091,3164,295,571,1803
E02001550,7748,3693,4055,412,852,1889
E02001551,5896,2986,2917,314,623,1417
E02001552,7654,3744,3911,458,859,1699
E02001553,10212,5010,5202,658,1019,2386
E02001554,6005,2879,3123,244,631,1797
E02001555,5227,2534,2692,208,412,1997
E02001556,9145,4436,4710,529,1022,1944
E02001557,10031,5383,4654,444,1035,2104
E02001558,5991,2870,3122,219,495,2316
E02001559,7546,3694,3854,340,684,2290
E02001560,11790,6487,5308,721,1758,1523
E02001561,6295,3296,3003,446,697,1169
E02001562,5817,2779,3042,309,505,1691
E02001563,8093,3975,4112,393,715,2610
E02001564,8197,3976,4225,351,695,2785
E02001565,7819,3823,3999,385,719,2424
E02001566,8611,4322,4292,597,955,1256
E02001567,8693,4271,4418,523,956,2238
E02001568,6874,3384,3486,515,765,1628
E02001569,8686,4268,4416,577,1010,2046
E02001570,6996,3426,3567,411,748,1841
E02001571,5917,2927,2991,274,590,1829
E02001572,7786,3868,3921,488,802,1781
E02001573,7672,3696,3978,449,859,1842
E02001574,6009,2934,3081,265,560,1887
E02001575,7902,3846,4059,550,918,1664
E02001576,6968,3347,3624,393,680,1646
E02001577,6444,3077,3371,237,488,2667
E02001578,11670,5754,5915,675,1264,2287
E02001579,9967,4834,5133,505,1083,2683
E02001580,8547,4195,4358,443,841,2548
E02001581,6228,3027,3202,340,615,1691
E02001582,7688,3763,3933,384,817,1961
E02001583,5570,2700,2875,331,613,1261
E02001584,6670,3278,3388,234,614,2208
E02001585,6318,3131,3191,410,685,1490
E02001586,7783,3898,3882,350,833,2347
E02001587,5812,2828,2979,327,594,1524
E02001588,7211,3493,3715,419,809,1617
E02001589,7992,3901,4094,368,790,2185
E02001590,7496,3711,3787,518,993,1323
E02001591,8253,4128,4123,563,1039,1490
E02001592,8582,4212,4367,438,907,2482
E02001593,7206,3621,3585,504,1049,1105
E02001594,7451,3869,3586,568,1063,1172
E02001595,8295,4075,4226,391,819,2516
E02001596,8291,3927,4361,352,793,2851
E02001597,9512,4594,4919,635,1072,2273
E02001598,9644,4618,5032,525,936,2800
E02001600,11087,5446,5650,594,1429,2759
E02001602,9054,4406,4641,515,916,2528
E02001603,7491,3679,3810,499,746,1869
E02001604,11790,5798,5998,870,1237,2003
E02001605,7503,3669,3834,400,729,1986
E02001606,8026,3924,4107,412,898,2221
E02001607,8931,4367,4554,499,872,2546
E02001608,7061,3490,3573,369,704,1843
E02001609,8517,4157,4362,348,787,2985
E02001610,8649,4189,4463,386,857,2548
E02001611,7683,3748,3933,391,731,2364
E02001612,5619,2774,2849,239,570,1708
E02001613,10222,4967,5254,532,966,3181
E02001614,11002,5335,5662,412,1135,3518
E02001615,7136,3480,3658,238,564,2712
E02001616,7282,3554,3729,363,816,2000
E02001617,5915,2727,3186,469,689,1014
E02001618,9779,4837,4945,435,965,2685
E02001619,10172,4944,5220,671,1263,2133
E02001620,6995,3280,3715,453,799,1304
E02001621,6053,2934,3122,445,725,1091
E02001622,9031,4343,4698,604,974,1986
E02001623,8166,3914,4254,488,1232,1641
E02001624,9332,4698,4635,534,1078,2093
E02001625,7911,3787,4127,573,1013,1669
E02001626,5818,2776,3045,293,587,1540
E02001627,6015,2983,3034,317,652,1205
E02001628,6511,3265,3242,496,945,1034
E02001629,6536,3265,3273,447,826,1277
E02001630,9253,4666,4588,706,1462,1350
E02001631,7565,3648,3913,377,767,1846
E02001632,12363,6355,6002,1056,2025,1320
E02001633,7618,3702,3919,368,638,2596
E02001634,9025,4469,4553,506,851,1887
E02001635,6041,2994,3048,311,568,1809
E02001636,9372,4810,4561,537,1834,1648
E02001637,8569,4218,4345,733,1402,1015
E02001638,5693,2868,2825,179,2500,626
E02001639,5972,2997,2977,268,971,1213
E02001640,8325,4229,4102,248,4025,1029
E02001642,10311,5205,5112,623,1276,2261
E02001643,6216,3068,3156,294,555,1970
E02001646,7659,3753,3901,145,3780,1061
E02001647,6281,3030,3256,397,634,1739
E02001648,8235,4079,4153,226,3012,1654
E02001649,10977,5309,5669,755,1387,1821
E02001650,9579,5012,4568,369,4087,803
E02001651,8080,3929,4152,380,675,2673
E02001652,12867,6738,6126,431,5939,890
E02001653,7458,3647,3811,525,1083,1180
E02001654,6308,3047,3254,312,652,1828
E02001655,7674,3740,3941,542,766,1882
E02001656,7777,3839,3934,391,1412,1411
E02001657,9114,4367,4747,566,908,2000
E02001658,5261,2451,2808,361,632,969
E02001659,5828,2828,2993,302,611,1593
E02001660,9867,4976,4897,555,1124,2014
E02001661,7681,3743,3942,528,836,1628
E02001662,7423,3570,3854,360,759,2198
E02001663,7364,3713,3655,421,596,1275
E02001664,6293,3097,3191,416,625,1912
E02001665,9804,4808,4996,450,874,3161
E02001666,5912,2906,3010,298,675,1383
E02001669,7769,3742,4033,398,751,1639
E02001670,6017,2848,3169,416,728,1282
E02001671,5608,2738,2868,187,483,2095
E02001672,5979,2897,3079,273,623,1748
E02001673,5205,2550,2650,256,510,1393
E02001674,9090,4467,4629,464,731,3033
E02001675,8418,4121,4295,403,823,2768
E02001676,5878,2833,3045,257,499,1933
E02001678,10481,5020,5468,499,896,3659
E02001679,6325,2991,3331,445,640,1453
E02001680,6264,3021,3244,472,747,1290
E02001681,7623,3692,3930,379,688,2431
E02001682,8528,4193,4349,441,794,2401
E02001683,9345,4521,4836,476,796,2828
E02001684,6669,3257,3410,397,699,1561
E02001685,8036,3844,4199,456,876,1860
E02001686,6710,3285,3425,245,587,2226
E02001688,7606,3835,3769,392,754,1393
E02001689,7505,3845,3660,551,968,1564
E02001690,7019,3520,3504,333,661,1959
E02001691,8492,4368,4123,585,959,1323
E02001692,6316,2992,3325,405,765,1176
E02001693,5233,2519,2722,233,518,1519
E02001694,6220,3067,3154,312,589,1765
E02001695,5774,2839,2935,218,548,1849
E02001696,9146,4287,4858,509,1010,2401
E02001697,7408,3639,3775,358,668,2108
E02001698,6961,3347,3622,265,511,2918
E02001699,6549,3159,3395,311,654,2003
E02001700,10253,4960,5303,530,981,2937
E02001701,6235,3041,3196,258,529,2082
E02001702,7870,3790,4081,450,938,1853
E02001703,5568,2696,2872,214,506,1944
E02001704,6788,3330,3462,313,714,1867
E02001706,7926,3847,4075,501,739,1865
E02001707,8276,3952,4329,357,814,2496
E02001709,10341,5016,5328,473,934,2970
E02001710,10109,4926,5177,494,1229,2500
E02001711,9885,4747,5144,617,1048,2442
E02001712,9337,4587,4752,508,1167,2392
E02001713,10047,4936,5115,520,970,2660
E02001714,9695,4841,4852,522,951,2440
E02001715,11802,5657,6143,732,1359,2321
E02001718,6623,3192,3429,472,688,1513
E02001719,8575,4161,4421,370,965,2217
E02001720,9508,4671,4841,131,5735,1153
E02001721,10745,5209,5544,595,1106,2978
E02001722,9476,4488,4996,575,1027,2520
E02001723,7177,3419,3757,495,848,1269
E02001724,8967,4421,4544,140,4676,1177
E02001725,9172,4808,4368,294,2449,1068
E02001726,11818,5738,6069,719,1413,2494
E02001727,8753,4384,4357,456,889,2429
E02001728,9453,4583,4869,488,1037,2483
E02001729,12301,6628,5673,881,3013,1190
E02001732,5688,2715,2976,349,569,1331
E02001734,8174,3955,4216,552,975,1733
E02001735,6619,3068,3553,424,861,1356
E02001737,6188,3050,3138,446,656,1385
E02001738,6165,3044,3116,250,500,2351
E02001739,7268,3496,3773,348,720,2202
E02001740,5913,2864,3051,288,557,1661
E02001741,7725,3634,4091,376,603,2687
E02001742,5772,2739,3035,239,476,1936
E02001743,7572,3725,3852,385,731,1869
E02001744,8171,3987,4179,481,699,1835
E02001745,6694,3209,3491,354,673,1694
E02001746,8188,3926,4249,382,867,2213
E02001747,6233,2991,3239,295,432,2287
E02001748,8663,4223,4435,529,867,1726
E02001749,6366,3096,3272,313,551,1948
E02001750,6791,3271,3517,340,585,2177
E02001751,6664,3190,3475,381,618,1763
E02001752,6404,3030,3376,360,740,1461
E02001753,6150,2952,3200,238,445,1966
E02001754,5780,2808,2978,237,436,1814
E02001755,9897,4857,5039,623,893,2384
E02001756,9304,4476,4825,591,875,2014
E02001757,5847,2794,3045,284,513,1855
E02001758,5602,2692,2910,288,529,1618
E02001759,6137,3062,3079,269,564,1717
E02001760,7746,3636,4106,539,929,1478
E02001761,5515,2632,2877,245,533,1738
E02001762,6752,3308,3446,428,582,1769
E02001763,6408,3186,3220,350,732,1646
E02001764,7565,3787,3775,409,798,1816
E02001765,7640,3798,3843,481,836,1657
E02001766,7173,3602,3579,377,888,1424
E02001767,6866,3307,3550,309,704,1778
E02001768,8078,4066,4010,365,898,2041
E02001769,7420,3867,3552,438,787,1766
E02001770,5952,2934,3016,235,590,1778
E02001771,6195,2946,3250,340,592,1961
E02001772,5023,2445,2580,233,490,1522
E02001773,5241,2483,2759,201,414,2058
E02001774,5235,2584,2651,258,511,1423
E02001775,5435,2608,2827,267,619,1475
E02001776,9055,4448,4601,542,942,2091
E02001777,6757,3391,3362,361,687,1625
E02001778,5610,2760,2848,291,588,1493
E02001779,5347,2641,2704,271,595,1496
E02001780,6044,2880,3159,346,580,1782
E02001781,5393,2631,2763,367,550,1292
E02001782,10181,4890,5299,661,936,2573
E02001783,7201,3313,3887,624,792,1472
E02001784,6569,3094,3473,312,738,1832
E02001785,7584,3621,3973,309,677,2575
E02001786,6605,3141,3471,350,643,1848
E02001787,5360,2556,2804,220,522,1626
E02001788,5776,2815,2961,332,577,1647
E02001789,5793,2783,3012,238,487,2082
E02001790,5896,2810,3083,256,549,1846
E02001791,5480,2656,2820,243,481,1787
E02001792,6827,3292,3528,230,617,2517
E02001793,8273,3937,4341,519,1003,1794
E02001794,8837,4180,4659,529,1026,2256
E02001795,7279,3612,3662,386,718,2075
E02001796,8567,4259,4305,339,930,2743
E02001797,5878,2922,2955,231,597,1807
E02001798,8216,3924,4294,440,927,2105
E02001799,9355,4422,4939,601,1099,2201
E02001800,6686,3208,3485,257,739,1961
E02001801,5836,2895,2935,332,770,1141
E02001802,7352,3494,3862,526,811,1534
E02001803,8546,4468,4066,367,2148,1498
E02001804,6213,2950,3260,314,627,1666
E02001805,5501,2654,2848,260,519,1842
E02001806,7663,3883,3773,371,853,1896
E02001807,8663,4237,4413,555,867,2014
E02001808,5589,2784,2813,340,670,1233
E02001809,6492,3137,3359,287,600,2228
E02001810,8223,4046,4175,355,812,2405
E02001811,8697,4108,4592,462,929,2274
E02001812,9979,4900,5081,364,940,3548
E02001813,9688,4627,5042,593,1182,2001
E02001814,6170,2990,3175,281,662,1669
E02001815,9787,4751,5029,327,916,3457
E02001816,6797,3157,3639,314,637,2100
E02001817,6690,3216,3481,405,681,1865
E02001818,9489,4583,4910,517,1018,2134
E02001819,6883,3315,3562,243,574,2592
E02001820,9691,4743,4944,543,1023,2345
E02001821,5607,2709,2893,237,549,1611
E02001822,7666,3752,3910,347,784,2094
E02001823,8043,3975,4070,506,808,1887
E02001824,8535,4023,4510,431,794,2615
E02001825,7609,3668,3947,328,723,2518
E02001826,7370,3582,3790,470,764,1771
E02001827,6451,3081,3366,290,636,1954
E02001828,7142,3444,3700,344,672,2321
E02001829,9159,4436,4722,521,875,2289
E02001830,9681,4749,4931,375,920,3244
E02001831,10689,5036,5648,706,1113,2423
E02001832,7935,3888,4043,382,766,2372
E02001833,5937,2949,2985,326,637,1571
E02001834,6107,2912,3197,391,747,1133
E02001835,8474,4122,4346,392,794,2278
E02001836,9110,4461,4644,506,831,2707
E02001837,10662,5171,5492,712,1497,1764
E02001838,7573,3669,3910,362,672,2459
E02001839,6440,3070,3379,396,635,1621
E02001840,9603,4529,5074,654,1320,1800
E02001841,5967,2894,3068,243,567,2155
E02001842,8067,3937,4132,518,900,1757
E02001843,6641,3254,3385,455,729,1577
E02001844,9715,4722,4991,495,771,2971
E02001845,6661,3181,3481,481,725,1252
E02001846,8159,3959,4196,595,997,1546
E02001847,5598,2745,2853,281,489,1730
E02001848,7316,3422,3900,534,1057,1188
E02001849,8790,4317,4475,795,1008,1228
E02001850,8607,4263,4342,598,1197,1647
E02001851,9085,4403,4684,537,971,2004
E02001852,7028,3493,3538,462,959,1372
E02001855,9938,4556,5383,648,1301,2120
E02001856,9638,4813,4831,730,1282,1340
E02001857,13859,7057,6789,891,1951,2164
E02001858,9148,4519,4629,556,1580,1438
E02001859,10401,5206,5193,785,1767,1335
E02001860,8471,4230,4242,567,1268,1145
E02001861,11198,5686,5520,885,1957,1321
E02001862,9874,4866,5009,635,1496,1520
E02001863,8404,4287,4127,617,1465,998
E02001865,11403,5784,5618,788,1922,1501
E02001866,9452,4894,4556,649,1715,1138
E02001867,8671,4319,4351,641,1571,949
E02001868,9816,4869,4947,778,1751,1422
E02001869,7007,3333,3678,670,1058,786
E02001870,12985,6372,6626,1046,2274,1537
E02001871,8345,3925,4412,619,925,1811
E02001872,7427,3435,3987,556,869,1440
E02001873,11386,5604,5780,904,1883,1337
E02001874,9960,4908,5051,836,1839,1038
E02001875,8962,4496,4462,737,1554,791
E02001876,16080,7535,8554,806,8447,715
E02001877,12398,6155,6241,1027,2437,1243
E02001878,9524,4720,4802,787,1798,929
E02001879,10025,5233,4799,723,1690,1215
E02001880,10039,4773,5262,855,1507,1309
E02001881,10492,5198,5297,864,1940,1091
E02001882,8910,4363,4544,746,1252,1570
E02001883,8515,4107,4400,654,964,1568
E02001884,10188,5036,5157,875,1992,820
E02001886,9884,5121,4769,505,1604,1582
E02001888,7178,3443,3741,520,970,1330
E02001889,9053,4532,4524,621,1683,1060
E02001890,9979,5052,4922,458,1679,1766
E02001892,11585,5629,5960,1024,1807,1302
E02001893,8822,4367,4450,550,1221,1876
E02001895,8952,4229,4727,558,1192,1870
E02001896,10160,5016,5143,871,1782,1125
E02001897,8625,4279,4350,712,1595,1077
E02001898,6562,3240,3321,395,739,1694
E02001899,8531,4131,4403,491,674,2443
E02001900,6706,3464,3254,408,1034,1345
E02001901,8141,3912,4231,471,856,1550
E02001902,6256,3079,3166,419,681,1343
E02001903,8074,4035,4040,648,1459,978
E02001904,7722,3790,3928,629,1093,1088
E02001905,10275,4774,5504,332,4634,1399
E02001906,9568,4594,4978,550,1141,2092
E02001907,10413,5207,5203,621,1177,2430
E02001908,8956,4530,4421,725,1657,1020
E02001909,8288,4146,4143,689,1527,948
E02001910,7235,3707,3526,510,1286,1012
E02001911,8737,4218,4522,691,1124,1479
E02001913,7442,3649,3795,375,1589,1409
E02001914,7058,3575,3486,445,996,1248
E02001915,11955,6009,5950,764,1395,2342
E02001916,9893,4899,5000,789,1420,1334
E02001918,8648,4425,4228,392,892,1828
E02001919,6937,3484,3457,349,935,1402
E02001920,7652,3616,4038,525,959,1618
E02001921,7740,3723,4023,505,928,1546
E02001922,15993,7239,8751,214,12504,461
E02001923,11123,5453,5670,699,1742,2006
E02001924,7074,3463,3618,492,935,1303
E02001925,6739,3265,3468,343,983,1614
E02001926,7825,3898,3936,386,1419,1485
E02001927,7671,3622,4054,459,973,1474
E02001928,6815,3210,3606,424,783,1716
E02001929,10509,5073,5440,875,1467,1373
E02001930,7704,3745,3954,397,750,1521
E02001931,8591,4229,4367,535,1018,2059
E02001932,7422,3467,3963,508,908,1330
E02001933,7718,3716,4006,509,868,1507
E02001934,7147,3512,3635,447,968,1491
E02001935,8078,3817,4259,433,877,2061
E02001936,6380,3105,3282,348,648,1738
E02001937,8387,4071,4316,588,1081,1527
E02001938,7868,3853,4017,434,755,1452
E02001939,6295,2916,3372,347,568,2022
E02001941,6548,3154,3398,493,849,1268
E02001942,6782,3254,3525,393,763,1575
E02001943,6474,3174,3296,397,697,1374
E02001944,8069,3907,4166,448,910,1678
E02001945,7899,3810,4082,545,1068,1362
E02001946,7584,3736,3846,361,812,2072
E02001947,6236,2971,3272,499,803,1281
E02001948,7346,3581,3772,440,740,1743
E02001949,6166,2904,3259,463,636,1240
E02001950,8573,4116,4452,512,916,2146
E02001951,9432,4437,4993,695,1133,1883
E02001952,9131,4383,4744,667,1140,1788
E02001953,7120,3424,3685,378,765,2009
E02001954,7584,3548,4026,503,923,1558
E02001955,8090,3908,4186,535,900,1664
E02001956,6848,3327,3523,420,750,1419
E02001957,7883,3772,4109,472,859,1912
E02001958,8069,4012,4062,526,911,1569
E02001959,6929,3393,3532,432,788,1501
E02001961,7964,3923,4045,563,957,1428
E02001962,7211,3524,3687,562,954,1018
E02001963,6141,3039,3102,260,697,1640
E02001964,11008,5240,5762,942,1391,1473
E02001965,8077,3958,4125,429,847,2085
E02001966,7358,3667,3692,548,1233,783
E02001967,6962,3398,3563,347,696,2154
E02001968,7961,3928,4030,497,979,1237
E02001969,6776,3276,3497,429,758,1362
E02001970,5760,2811,2946,366,541,1588
E02001971,6287,3042,3246,367,645,1393
E02001972,11720,5876,5846,1031,1712,1248
E02001973,8533,4266,4279,572,1042,1367
E02001974,9463,4653,4804,491,1030,2225
E02001975,7634,3755,3878,411,910,1533
E02001976,7497,3678,3820,366,778,1814
E02001977,10013,5229,4785,644,1863,1346
E02001978,6812,3456,3357,520,801,1274
E02001979,5605,2716,2891,284,538,1584
E02001980,5790,2845,2952,277,501,2068
E02001981,13439,6904,6540,1126,3874,1055
E02001982,8410,4123,4280,498,942,1900
E02001983,7610,3794,3818,418,877,1732
E02001984,10470,5131,5334,686,1336,1900
E02001985,9234,5330,3913,297,4503,603
E02001986,7982,3975,4008,515,895,1686
E02001987,5913,3055,2859,251,1436,1017
E02001988,11155,5967,5190,305,5650,992
E02001989,6296,3130,3163,386,965,1231
E02001990,9182,4489,4700,405,898,2599
E02001991,8474,4270,4209,315,1178,2582
E02001992,10784,5175,5608,729,1360,1936
E02001993,8989,4583,4402,410,2359,1640
E02001994,7953,3936,4022,440,880,1901
E02001995,9426,4650,4781,683,1327,1581
E02001996,7689,3768,3924,630,942,1236
E02001997,8509,4177,4338,389,835,2603
E02001998,6038,3000,3033,281,667,1653
E02001999,9111,4578,4531,192,4331,1601
E02002000,8552,4107,4447,600,982,1979
E02002001,6062,3019,3040,244,669,1590
E02002002,6898,3364,3531,265,587,2715
E02002003,9019,4494,4528,466,897,2480
E02002004,7578,3625,3955,411,829,1788
E02002005,9891,4768,5128,731,1253,1669
E02002006,6476,3199,3283,417,690,1514
E02002007,9028,4438,4588,503,839,2804
E02002008,8165,3999,4165,403,900,1783
E02002009,7117,3477,3638,566,885,1170
E02002010,8374,4311,4060,635,1059,1581
E02002011,5906,2907,3001,254,535,1977
E02002012,8411,4077,4335,560,979,1940
E02002013,6570,3180,3387,236,636,2403
E02002014,8313,4127,4183,646,1179,1354
E02002015,7059,3496,3563,443,719,1707
E02002016,8048,3862,4181,555,869,1690
E02002017,8073,3969,4103,504,926,1896
E02002018,8930,4320,4606,349,923,3046
E02002019,7796,3835,3960,515,909,1728
E02002020,9482,4633,4852,457,912,2886
E02002021,7706,3913,3793,499,1054,1450
E02002022,8881,4358,4524,684,963,1706
E02002023,5351,2632,2724,269,546,1578
E02002024,8745,4303,4439,528,923,2164
E02002025,8896,4399,4496,612,990,1863
E02002026,6784,3370,3410,308,739,2049
E02002027,5377,2679,2698,208,574,1562
E02002028,5731,2800,2932,261,511,1909
E02002029,6224,2973,3252,321,585,1893
E02002030,6815,3421,3393,418,748,1657
E02002031,6262,3157,3106,351,788,1487
E02002032,10212,4961,5248,622,1172,2208
E02002033,7814,3828,3988,388,814,2177
E02002034,8168,4075,4090,371,793,2113
E02002035,6114,2968,3143,269,561,2105
E02002036,6665,3461,3202,441,749,1565
E02002037,5926,2864,3056,285,563,1810
E02002038,9613,4753,4858,489,1015,2682
E02002039,6212,3129,3080,256,638,1888
E02002040,5936,2915,3017,224,498,2283
E02002041,6274,2937,3332,279,609,2277
E02002042,8026,3911,4114,336,785,2615
E02002043,8762,4352,4408,571,1038,1807
E02002044,8048,3855,4199,582,976,1365
E02002045,7812,3749,4058,477,828,1770
E02002046,5716,2764,2951,373,687,1031
E02002047,7551,3801,3752,448,844,2108
E02002048,6828,3275,3555,326,699,1955
E02002049,6311,3103,3202,432,762,1347
E02002051,6169,2947,3225,458,754,1049
E02002052,11361,5497,5874,732,1424,2130
E02002053,6325,3038,3290,368,738,1521
E02002054,5815,2761,3059,317,703,1456
E02002055,11128,5408,5721,693,1340,2086
E02002056,9882,4852,5027,690,1279,1730
E02002057,10724,5328,5387,649,1333,2102
E02002058,13569,6762,6806,982,1814,2201
E02002059,11791,5887,5899,688,1436,2422
E02002060,7354,3671,3677,500,983,1246
E02002061,7058,3477,3580,408,1095,1249
E02002062,8962,4466,4497,590,1194,1579
E02002063,10325,5210,5120,709,1216,1710
E02002064,12497,6234,6265,849,1493,2376
E02002065,14174,7097,7076,1050,2159,1824
E02002066,8259,4148,4113,586,1124,1318
E02002067,6320,3056,3258,355,723,1540
E02002069,7244,3585,3653,575,828,1531
E02002070,10334,5196,5145,767,1430,1694
E02002071,6720,3250,3470,439,756,1548
E02002072,8925,4419,4501,500,1023,1909
E02002073,8415,4088,4323,506,1100,1615
E02002074,8206,4005,4203,411,939,1827
E02002075,8736,4259,4472,463,970,2082
E02002076,10667,5191,5474,648,1174,1788
E02002077,10884,5407,5469,731,1322,2379
E02002078,6571,3170,3401,369,672,1697
E02002079,8662,4224,4439,505,1004,2023
E02002080,7378,3593,3791,437,828,1643
E02002081,5430,2643,2789,246,526,1872
E02002082,5848,2770,3069,395,772,1092
E02002083,6029,2952,3077,295,599,1815
E02002084,6747,3183,3557,524,797,1334
E02002085,6660,3135,3522,476,812,1351
E02002086,5921,2834,3090,487,709,1283
E02002087,6294,2968,3324,495,762,1156
E02002088,9581,4528,5057,714,1154,1910
E02002089,8066,3963,4097,384,882,2084
E02002090,5962,2996,2962,374,666,1339
E02002091,7655,3735,3923,412,782,2041
E02002092,7269,3562,3703,386,789,1852
E02002093,6692,3348,3339,307,685,1822
E02002094,5982,2939,3041,248,649,1956
E02002095,8629,4152,4471,453,930,2438
E02002096,10374,5035,5342,505,951,3203
E02002097,7343,3603,3735,308,705,2315
E02002098,9739,4750,4983,476,1011,2533
E02002099,6898,3398,3502,259,687,2264
E02002101,6305,3027,3278,371,567,1885
E02002102,8775,4290,4484,444,886,2329
E02002103,6082,2910,3171,289,537,2118
E02002104,5848,2818,3033,198,605,1859
E02002105,8267,4025,4245,358,838,2595
E02002106,9732,4686,5042,392,879,3470
E02002107,5415,2618,2794,244,475,1687
E02002108,9849,4770,5074,442,964,3050
E02002109,12131,6006,6120,779,1246,2413
E02002110,7028,3462,3557,383,773,1600
E02002111,6416,3078,3339,353,699,1718
E02002112,5270,2609,2661,230,562,1573
